,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,Cy5,209,Std,S1,,25.6102333648283,25.6102333648283,0,1000000,6,1000000,0,56,
,A02,Cy5,209,Std,S1,,25.5662034429369,25.5662034429369,0,1000000,6,1000000,0,56,
,A03,Cy5,209,Std,S1,,25.5707266965374,25.5707266965374,0,1000000,6,1000000,0,56,
,A04,Cy5,209,Unkn,1982,,32.3475893332303,32.3475893332303,0,49343.0443251175,4.69322594071134,49343.0443251175,0,56,
,A05,Cy5,209,Unkn,1127,,33.4133218792827,33.4133218792827,0,30105.5483823489,4.47864654243036,30105.5483823489,0,56,
,B01,Cy5,209,Std,S2,,28.070520310378,28.070520310378,0,500000,5.69897000433602,500000,0,56,
,B02,Cy5,209,Std,S2,,28.016787800628,28.016787800628,0,500000,5.69897000433602,500000,0,56,
,B03,Cy5,209,Std,S2,,28.0146158146491,28.0146158146491,0,500000,5.69897000433602,500000,0,56,
,B04,Cy5,209,Unkn,2139,,37.686456553801,37.686456553801,0,4152.16239839551,3.61827433119584,4152.16239839551,0,56,
,B05,Cy5,209,Unkn,1451,,32.0893252264777,32.0893252264777,0,55619.3617616792,4.74522600097958,55619.3617616792,0,56,
,C01,Cy5,209,Std,S3,,30.3086816275959,30.3086816275959,0,100000,5,100000,0,56,
,C02,Cy5,209,Std,S3,,30.2771739992663,30.2771739992663,0,100000,5,100000,0,56,
,C03,Cy5,209,Std,S3,,30.3833587539498,30.3833587539498,0,100000,5,100000,0,56,
,C04,Cy5,209,Unkn,2146,,32.3410883434632,32.3410883434632,0,49491.9857622041,4.69453487931664,49491.9857622041,0,56,
,C05,Cy5,209,Unkn,1848,,30.1831972749063,30.1831972749063,0,134590.498345865,5.12901440118353,134590.498345865,0,56,
,D01,Cy5,209,Std,S4,,32.4295741870378,32.4295741870378,0,50000,4.69897000433602,50000,0,56,
,D02,Cy5,209,Std,S4,,32.7156735367154,32.7156735367154,0,50000,4.69897000433602,50000,0,56,
,D03,Cy5,209,Std,S4,,32.4309097246028,32.4309097246028,0,50000,4.69897000433602,50000,0,56,
,D04,Cy5,209,Unkn,2449,,NaN,0,0,NaN,NaN,0,0,56,
,E01,Cy5,209,Std,S5,,34.8944621796689,34.8944621796689,0,10000,4,10000,0,56,
,E02,Cy5,209,Std,S5,,34.489451115141,34.489451115141,0,10000,4,10000,0,56,
,E03,Cy5,209,Std,S5,,35.1474927845753,35.1474927845753,0,10000,4,10000,0,56,
,E04,Cy5,209,Unkn,2597,,31.0862325827131,31.0862325827131,0,88550.9446950301,4.9471931987689,88550.9446950301,0,56,
,F01,Cy5,209,Std,S6,,38.043817424757,38.043817424757,0,5000,3.69897000433602,5000,0,56,
,F02,Cy5,209,Std,S6,,37.2669860626722,37.2669860626722,0,5000,3.69897000433602,5000,0,56,
