,Peptoniphilus grossensis,Bacteroides ovatus,Citrobacter koseri,Staphylococcus hominis,Prevotella timonensis,Prevotella disiens,Staphylococcus cohnii,Cochliobolus sp,Bacteroides fragilis,Corynebacterium jeikeium,Shigella sonnei,Porphyromonas gingivicanis,Fusobacterium nucleatum,Acinetobacter johnsonii,Pasteurella canis,Actinobaculum schaalii,Staphylococcus caprae,Cochliobolus lunatus,Morganella morganii,Helcococcus kunzii,Providencia rettgeri,Micrococcus aloeverae,Acinetobacter calcoaceticus,Anaerococcus lactolyticus,Pantoea ananatis,Porphyromonas somerae,Neisseria weaveri,Dolosigranulum pigrum,Klebsiella pneumoniae,Bacteroides denticanum,Parabacteroides distasonis,Corynebacterium simulans,Terrahaemophilus aromaticivorans,Brevundimonas vesicularis,Naxibacter sp,Staphylococcus spp.,Peptoniphilus massiliensis,Actinomyces neuii,Prevotella bivia,Anaerococcus octavius,Fusobacterium canifelinum,Leptotrichia goodfellowii,Fusobacterium periodonticum,Tannerella forsythia,Pseudomonas sp,Streptococcus mitis,Acinetobacter lwoffii,Prevotella denticola,Granulicatella adiacens,Corynebacterium striatum,Staphylococcus saprophyticus,Pseudomonas trivialis,Corynebacterium falsenii,Anoxybacillus flavithermus,Anaeromyxobacter dehalogenans,Stenotrophomonas maltophilia,Brevibacterium otitidis,Balneimonas sp,Corynebacterium pseudogenitalium,Porphyromonas bennonis,Saccharibacillus kuerlensis,Corynebacterium ulcerans,Curtobacterium flaccumfaciens,Staphylococcus capitis,Streptococcus oralis,Porphyromonas gulae,Peptoniphilus asaccharolyticus,Prevotella buccalis,Anaerococcus prevotii,Gemella haemolysans,Shigella flexneri,Candida albicans,Peptoniphilus indolicus,Anaerococcus vaginalis,Corynebacterium aurimucosum,Streptococcus constellatus,Pelomonas saccharophila,Streptococcus dysgalactiae,Atopobium deltae,Shigella dysenteriae,Cutibacterium acnes,Escherichia coli,Peptoniphilus harei,Flavobacterium succinicans,Proteus mirabilis,Streptococcus anginosus,Serratia marcescens,Citrobacter freundii,Staphylococcus epidermidis,Enterobacter hormaechei,Peptoniphilus lacrimalis,Bacteroides thetaiotaomicron,Bacteroides tectus,Staphylococcus warneri,Proteus penneri,Gemella morbillorum,Anaerococcus hydrogenalis,Finegoldia magna,Staphylococcus lugdunensis,Paenarthrobacter nicotinovorans,Herbaspirillum huttiense,Neisseria sicca,Bacteroides coagulans,Staphylococcus aureus,Massilia timonae,Pseudomonas aeruginosa,Enterococcus faecium,Propionibacterium acnes,Pantoea agglomerans,Streptococcus agalactiae,Corynebacterium xerosis,Enterococcus faecalis,Moraxella osloensis,Prevotella bergensis,Peptoniphilus coxii,Sutterella massiliensis,Subdoligranulum variabile,Enterococcus spp.,Atopobium rimae,Dialister propionicifaciens,Porphyromonas levii,Corynebacterium sphenisci,Arthrobacter albus,Ralstonia insidiosa,Frigoribacterium faeni,Corynebacterium tuberculostearicum,Acinetobacter radioresistens,Porphyromonas cangingivalis,Campylobacter ureolyticus,Thermodesulfobium narugense,Haemophilus parainfluenzae,Fusobacterium gastrosuis,Arthrobacter sp,Neisseria pharyngis,Staphylococcus pettenkoferi
3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5446,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
6328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7263,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8750,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
